,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
5903,0.0,0.0,0.0,1
5905,65.71428571428571,100.0,1314.2857142857142,0
5907,0.0,0.0,0.0,1
5908,0.0,42.637362637362635,0.0,1
5911,0.0,23.639774859287055,0.0,1
5912,0.0,24.013921113689097,0.0,1
5919,88.89795918367346,100.0,1422.4489795918369,0
5929,86.96296296296296,100.0,1304.4444444444443,0
5930,0.0,0.0,0.0,1
5931,0.0,50.554323725055426,0.0,1
5932,0.0,42.8,0.0,1
5933,0.0,31.564625850340132,0.0,1
5935,85.109375,100.0,1361.71875,0
5940,82.33870967741936,100.0,1646.7741935483873,0
5944,27.96774193548387,100.0,419.3548387096774,1
5946,0.0,0.0,0.0,1
5947,0.0,0.0,0.0,1
5948,40.472312703583064,6.026058631921824,647.557003257329,1
5950,0.0,0.0,0.0,1
5962,52.02439024390243,100.0,1560.9756097560976,0
5973,75.29268292682927,100.0,2334.1463414634145,2
5974,0.0,0.0,0.0,1
5975,0.0,0.0,0.0,1
5976,90.47222222222221,100.0,2713.888888888889,2
5978,0.0,0.0,0.0,1
5980,88.01298701298701,100.0,2640.2597402597403,2
5983,0.0,0.0,0.0,1
5988,0.0,0.0,0.0,1
5991,0.0,0.0,0.0,1
5993,86.19047619047619,100.0,2585.714285714286,2
5994,92.92929292929293,100.0,2787.878787878788,2
5997,0.0,0.0,0.0,1
5998,0.0,64.30594900849859,0.0,1
6001,70.41666666666667,100.0,1126.6666666666667,0
6004,88.4345238095238,100.0,2652.9761904761904,2
6005,91.21764705882353,100.0,2736.470588235294,2
6008,0.0,0.0,0.0,1
6012,93.77205882352942,100.0,2813.2352941176473,2
6014,85.65217391304347,100.0,2569.5652173913045,2
6015,79.46031746031747,100.0,1271.4285714285713,0
6016,0.0,0.0,0.0,1
6018,92.98484848484848,100.0,2789.3939393939395,2
6020,93.4516129032258,100.0,2803.2258064516127,2
6023,0.0,100.0,0.0,1
6025,22.615384615384613,84.61538461538461,384.61538461538464,1
6026,0.0,100.0,0.0,1
6027,43.596774193548384,53.2258064516129,1308.0645161290322,0
6036,97.25,100.0,2916.666666666667,2
6037,91.91525423728814,100.0,2757.6271186440677,2
6038,0.0,0.0,0.0,1
6041,0.0,49.26829268292683,0.0,1
6045,35.46153846153846,9.531772575250837,638.294314381271,1
6046,92.64159292035399,100.0,2779.2035398230087,2
6052,65.0,100.0,1950.0,2
6053,94.24675324675323,100.0,2827.2727272727275,2
6054,76.03703703703704,100.0,2281.4814814814813,2
6059,83.17721518987342,100.0,1330.801687763713,0
6062,0.0,0.0,0.0,1
6065,94.92613636363636,100.0,2847.7272727272725,2
6068,0.0,61.98347107438017,0.0,1
6071,91.95121951219512,100.0,2758.5365853658536,2
6078,0.0,0.0,0.0,1
6079,0.0,0.0,0.0,1
6082,0.0,0.0,0.0,1
6083,0.0,0.0,0.0,1
6089,0.0,0.0,0.0,1
6098,44.57446808510638,100.0,1337.2340425531916,0
6101,0.0,0.0,0.0,1
6102,0.0,0.0,0.0,1
6103,0.0,0.0,0.0,1
6105,0.0,0.0,0.0,1
6108,0.0,0.0,0.0,1
6111,75.83544303797468,100.0,1289.240506329114,0
6125,0.0,0.0,0.0,1
6127,0.0,0.0,0.0,1
6132,0.0,0.0,0.0,1
6134,79.15714285714284,100.0,1345.7142857142858,0
6136,0.0,0.0,0.0,1
6140,0.0,0.0,0.0,1
6147,0.0,0.0,0.0,1
6150,0.0,0.0,0.0,1
6153,0.0,0.0,0.0,1
6154,0.0,0.0,0.0,1
6157,0.0,0.0,0.0,1
6159,0.0,0.0,0.0,1
6165,0.0,0.0,0.0,1
6168,34.58361204013378,8.695652173913043,553.3444816053512,1
6169,0.0,0.0,0.0,1
6170,0.0,0.0,0.0,1
6172,0.0,0.0,0.0,1
6174,45.415841584158414,100.0,1362.3762376237623,0
6176,0.0,0.0,0.0,1
6177,48.26495726495727,100.0,1447.8632478632478,0
6178,45.714285714285715,100.0,1371.4285714285713,0
6191,0.0,0.0,0.0,1
6192,40.56716417910447,100.0,689.5522388059701,0
6194,0.0,0.0,0.0,1
6195,0.0,0.0,0.0,1
6202,0.0,0.0,0.0,1
6204,0.0,0.0,0.0,1
6206,62.455882352941174,69.11764705882352,1061.764705882353,0
6207,0.0,0.0,0.0,1
6214,61.35833333333333,100.0,1840.8333333333335,0
6220,0.0,0.0,0.0,1
6225,0.0,0.0,0.0,1
6226,0.0,0.0,0.0,1
6227,0.0,0.0,0.0,1
6228,83.41968911917098,100.0,1418.1347150259069,0
6229,0.0,0.0,0.0,1
6233,0.0,0.0,0.0,1
6234,38.92307692307693,100.0,778.4615384615385,0
6236,0.0,0.0,0.0,1
6241,0.0,0.0,0.0,1
6249,59.27777777777777,100.0,1777.7777777777778,0
6252,0.0,0.0,0.0,1
6255,0.0,0.0,0.0,1
6260,0.0,0.0,0.0,1
6264,43.18019801980198,17.02970297029703,690.8910891089109,0
6267,49.705103969754255,26.08695652173913,795.2741020793951,0
6268,53.68817204301075,100.0,1610.7526881720432,0
6271,0.0,0.0,0.0,1
6274,83.65957446808511,100.0,2593.617021276596,2
6275,0.0,0.0,0.0,1
6279,49.67277486910995,7.460732984293193,794.7643979057592,0
6280,0.0,0.0,0.0,1
6281,0.0,0.0,0.0,1
6285,0.0,0.0,0.0,1
6317,0.0,0.0,0.0,1
6324,0.0,0.0,0.0,1
6338,0.0,18.106995884773664,0.0,1
6347,70.46969696969697,100.0,1197.979797979798,0
6355,78.24056603773585,74.05660377358491,1173.5849056603774,0
6371,87.82327586206897,89.22413793103449,1405.1724137931035,0
6376,66.5875,85.0,1065.4166666666667,0
6393,0.0,0.0,0.0,1
6403,0.0,0.0,0.0,1
6407,0.0,0.0,0.0,1
6416,0.0,0.0,0.0,1
6434,0.0,0.0,0.0,1
6437,66.32450331125828,80.79470198675497,1326.4900662251655,0
6455,0.0,0.0,0.0,1
6476,0.0,0.0,0.0,1
6486,0.0,0.0,0.0,1
6496,56.285087719298254,74.12280701754386,844.2982456140351,0
6498,0.0,0.0,0.0,1
6519,0.0,0.0,0.0,1
6538,0.0,0.0,0.0,1
6541,0.0,0.0,0.0,1
6547,0.0,0.0,0.0,1
6549,0.0,0.0,0.0,1
6563,0.0,0.0,0.0,1
6596,0.0,0.0,0.0,1
6599,71.72619047619048,84.52380952380952,1147.6190476190477,0
6640,82.74814814814815,82.22222222222221,1406.6666666666667,0
6642,0.0,0.0,0.0,1
6649,0.0,0.0,0.0,1
6653,75.33532934131738,74.25149700598801,1205.3892215568862,0
6658,46.44808743169399,68.85245901639344,789.6174863387978,0
6663,0.0,0.0,0.0,1
6667,68.82352941176471,88.23529411764706,1445.0980392156862,0
6676,0.0,0.0,0.0,1
6679,90.1930693069307,100.0,1443.069306930693,0
6682,75.83636363636363,87.27272727272727,1592.7272727272727,0
6684,0.0,0.0,0.0,1
6686,0.0,0.0,0.0,1
6692,0.0,0.0,0.0,1
6695,0.0,0.0,0.0,1
6699,44.00429184549356,12.446351931330472,748.068669527897,0
6716,0.0,0.0,0.0,1
6728,0.0,0.0,0.0,1
6733,67.52100840336134,70.58823529411765,1147.8991596638655,0
6740,73.57518796992481,60.526315789473685,1250.751879699248,0
6742,67.18473895582329,73.09236947791165,1142.1686746987953,0
6745,83.91304347826087,100.0,2517.391304347826,2
6750,54.80888888888889,51.55555555555556,1041.3333333333335,0
6751,0.0,0.0,0.0,1
6752,0.0,0.0,0.0,1
6754,60.38636363636364,86.36363636363636,422.72727272727275,1
6757,43.53787878787879,88.63636363636364,740.1515151515151,0
6765,0.0,0.0,0.0,1
6767,71.13095238095238,100.0,1138.095238095238,0
6772,41.210155148095915,16.07898448519041,700.5641748942172,0
6773,0.0,0.0,0.0,1
6774,33.25499412455934,4.112808460634548,565.3349001175088,1
6779,57.93421052631579,51.31578947368421,926.9736842105264,0
6780,65.33333333333333,100.0,1111.111111111111,0
6782,0.0,0.0,0.0,1
6784,79.0530303030303,90.15151515151516,1343.939393939394,0
6787,76.73548387096774,100.0,1304.516129032258,0
6790,0.0,60.30927835051546,0.0,1
6793,35.45871559633028,100.0,602.7522935779816,1
6794,70.18055555555556,99.53703703703704,1193.0555555555554,0
6799,0.0,0.0,0.0,1
6800,0.0,0.0,0.0,1
6802,37.234708392603125,7.823613086770982,633.0014224751067,1
6807,27.449142857142856,5.714285714285714,466.62857142857143,1
6808,0.0,0.0,0.0,1
6811,32.5878084179971,16.835994194484762,553.9912917271407,1
6814,33.19936034115139,7.995735607675907,564.3923240938167,1
6821,29.799725651577504,9.876543209876543,506.5843621399177,1
6823,0.0,0.0,0.0,1
6826,0.0,0.0,0.0,1
6828,27.172707889125796,3.518123667377399,461.9402985074627,1
6829,0.0,0.0,0.0,1
6830,0.0,0.0,0.0,1
6836,0.0,0.0,0.0,1
6838,0.0,84.13461538461539,0.0,1
6839,0.0,0.0,0.0,1
6843,35.683982683982684,2.5974025974025974,606.6378066378066,1
6844,0.0,0.0,0.0,1
6845,35.23348017621145,13.215859030837004,598.9720998531571,1
6853,36.36923076923077,8.205128205128204,618.2905982905983,1
6858,37.63405336721728,18.678526048284624,639.7712833545108,1
6861,34.872682323856615,5.067985166872682,592.8306551297899,1
6862,33.6909518213866,3.055229142185664,572.737955346651,1
